series id,county,state,10y_change,county_state
ATNHPIUS53051A,Pend Oreille County, WA,67.58075910346155,"Pend Oreille County,  WA"
ATNHPIUS45063A,Lexington County, SC,30.216346153846153,"Lexington County,  SC"
ATNHPIUS24039A,Somerset County, MD,8.029439066436822,"Somerset County,  MD"
ATNHPIUS02122A,Kenai Peninsula Borough, AK,30.296651976583572,"Kenai Peninsula Borough,  AK"
ATNHPIUS18127A,Porter County, IN,41.10990024310504,"Porter County,  IN"
ATNHPIUS24045A,Wicomico County, MD,18.16277090290055,"Wicomico County,  MD"
ATNHPIUS51550A,Chesapeake city, VA,24.489683327816405,"Chesapeake city,  VA"
ATNHPIUS42013A,Blair County, PA,24.816271991685827,"Blair County,  PA"
ATNHPIUS27025A,Chisago County, MN,58.07547844750493,"Chisago County,  MN"
ATNHPIUS18059A,Hancock County, IN,49.3274799178031,"Hancock County,  IN"
ATNHPIUS06015A,Del Norte County, CA,56.499624299173455,"Del Norte County,  CA"
ATNHPIUS22099A,St. Martin Parish, LA,23.377156943303216,"St. Martin Parish,  LA"
ATNHPIUS24019A,Dorchester County, MD,20.408304498269903,"Dorchester County,  MD"
ATNHPIUS53071A,Walla Walla County, WA,69.03641317810255,"Walla Walla County,  WA"
ATNHPIUS01033A,Colbert County, AL,27.94393986846226,"Colbert County,  AL"
ATNHPIUS32510A,Carson City, NV,104.4215817167989,"Carson City,  NV"
ATNHPIUS16057A,Latah County, ID,66.13457264093756,"Latah County,  ID"
ATNHPIUS45077A,Pickens County, SC,48.78949528108332,"Pickens County,  SC"
ATNHPIUS20055A,Finney County, KS,53.718504985917626,"Finney County,  KS"
ATNHPIUS47079A,Henry County, TN,31.927863855727708,"Henry County,  TN"
ATNHPIUS47131A,Obion County, TN,35.48196333530455,"Obion County,  TN"
ATNHPIUS25011A,Franklin County, MA,31.546118115461198,"Franklin County,  MA"
ATNHPIUS01077A,Lauderdale County, AL,32.28132754342431,"Lauderdale County,  AL"
ATNHPIUS40099A,Murray County, OK,38.23118804969985,"Murray County,  OK"
